unix,Low,High,Open,Close,Volume,Date,vol_fiat
1615420800,137.44,145.33,144.47,144.23,18595.90084392,2021-03-11,2682086.7787185814
1615334400,138.39,149.5,146.75,144.27,29930.00194346,2021-03-10,4318001.380382975
1615248000,136.58,147.72,138.69,146.97,22141.41149364,2021-03-09,3254123.247220271
1615161600,130.48,140.96,138.16,138.69,19708.43710603,2021-03-08,2733363.1422353005
1615075200,131.61,138.5,132.3,137.72,14560.6819645,2021-03-07,2005297.12015094
1614988800,126.63,133.43,130.39,131.87,12704.35284587,2021-03-06,1675323.009784877
1614902400,121.77,132.63,130.17,130.27,20814.79003213,2021-03-05,2711542.6974855755
1614816000,127.68,139.6,135.0,130.14,25170.16303085,2021-03-04,3275645.0168348183
1614729600,127.2,140.89,128.38,135.15,31013.87910793,2021-03-03,4191525.7614367395
1614643200,122.51,133.27,126.4,128.47,22409.75118258,2021-03-02,2878980.7344260523
1614556800,117.14,126.97,118.39,126.56,17315.10003176,2021-03-01,2191399.0600195457
1614470400,110.12,124.54,122.95,118.55,38234.04995714,2021-02-28,4532646.622418947
1614384000,120.42,129.67,122.74,123.13,14596.0521362,2021-02-27,1797211.899530306
1614297600,117.2,131.01,127.96,122.53,56737.58665461,2021-02-26,6952056.4927893635
1614211200,123.97,144.91,128.52,128.15,44718.00770166,2021-02-25,5730612.686967729
1614124800,120.0,134.26,125.77,128.5,48586.93572793,2021-02-24,6243421.241039005
1614038400,112.01,148.6,148.07,125.93,150226.50725213,2021-02-23,18918024.05826073
1613952000,127.22,162.61,162.59,147.97,71658.2263014,2021-02-22,10603267.745818159
1613865600,157.88,167.37,162.85,162.44,29794.55945752,2021-02-21,4839828.2382795485
1613779200,155.09,176.37,169.47,163.28,57481.49199279,2021-02-20,9385578.012582751
1613692800,158.0,172.96,163.07,169.25,31994.45327828,2021-02-19,5415061.21734889
1613606400,158.93,172.9,171.95,162.58,20733.75732393,2021-02-18,3370894.2657245398
1613520000,146.71,171.9,151.7,171.9,39306.39796053,2021-02-17,6756769.809415107
1613433600,144.24,159.14,150.18,151.92,34735.16045335,2021-02-16,5276965.576072931
1613347200,136.04,158.52,154.62,149.69,48758.46665436,2021-02-15,7298654.873491148
1613260800,151.5,166.92,164.28,154.73,45413.8827713,2021-02-14,7026890.081203248
1613174400,138.73,166.09,142.47,164.03,66006.81538145,2021-02-13,10827097.927019242
1613088000,128.37,145.35,133.7,142.47,33356.52054402,2021-02-12,4752303.4819065295
1613001600,127.36,139.81,131.84,133.58,28106.6075441,2021-02-11,3754480.635740878
1612915200,123.75,141.38,131.65,131.55,59498.16297437,2021-02-10,7826983.339278375
1612828800,119.8,133.8,122.27,131.82,38455.61784017,2021-02-09,5069219.5436912095
1612742400,107.82,123.49,109.72,122.38,39713.14717564,2021-02-08,4860094.951354823
1612656000,105.95,114.76,113.33,110.12,21851.14634382,2021-02-07,2406248.2353814584
1612569600,109.5,119.69,112.98,113.13,35995.39308398,2021-02-06,4072158.8195906575
1612483200,105.17,114.77,106.5,112.91,25599.59539641,2021-02-05,2890450.316208653
1612396800,103.5,116.33,114.53,106.4,40158.1946757,2021-02-04,4272831.91349448
1612310400,104.17,114.99,104.17,114.54,34294.50035778,2021-02-03,3928092.0709801214
1612224000,97.03,107.22,97.15,104.17,36411.38650182,2021-02-02,3792974.1318945894
1612137600,92.18,99.84,94.21,96.54,21147.64423797,2021-02-01,2041593.5747336238
1612051200,92.0,98.52,97.2,94.34,14121.49161795,2021-01-31,1332221.519237403
1611964800,93.72,99.75,98.85,97.38,22316.16321575,2021-01-30,2173147.9739497346
1611878400,96.14,105.79,97.27,98.45,41738.90913045,2021-01-29,4109195.6038928027
1611792000,88.53,99.22,89.79,97.21,23986.04911649,2021-01-28,2331683.834613993
1611705600,86.73,98.41,98.3,89.5,24236.11847842,2021-01-27,2169132.6038185903
1611619200,93.8,102.17,100.45,98.22,19062.25066669,2021-01-26,1872294.260482292
1611532800,100.13,107.71,103.01,100.48,18465.83468523,2021-01-25,1855447.0691719104
1611446400,98.05,104.24,100.75,103.01,12660.53432176,2021-01-24,1304161.6404844976
1611360000,98.71,105.0,100.37,100.86,11415.39367303,2021-01-23,1151356.6058618056
1611273600,89.22,104.43,94.0,100.9,26279.80173017,2021-01-22,2651631.994574153
1611187200,91.32,109.98,109.67,94.18,31272.69512526,2021-01-21,2945262.426896987
1611100800,101.8,114.58,111.26,109.74,27359.99062556,2021-01-20,3002485.3712489544
1611014400,110.45,122.0,111.99,111.48,25315.57160076,2021-01-19,2822179.9220527248
1610928000,102.0,114.35,105.61,111.71,18274.42314682,2021-01-18,2041435.8097312623
1610841600,100.55,108.29,105.67,105.4,17647.92640223,2021-01-17,1860091.4427950422
1610755200,102.74,112.42,105.94,105.85,25090.66085769,2021-01-16,2655846.4517864864
1610668800,96.0,113.39,111.02,106.58,26324.21588471,2021-01-15,2805634.9289923916
1610582400,105.34,114.99,108.21,111.02,26096.51277472,2021-01-14,2897234.848249414
1610496000,92.18,108.99,96.61,108.27,27562.18196322,2021-01-13,2984157.441157829
1610409600,93.06,108.99,103.24,97.75,55192.99684883,2021-01-12,5395115.441973132
1610323200,77.01,126.37,126.37,103.24,139470.6608204,2021-01-11,14398951.023098094
1610236800,118.01,137.0,131.54,126.18,50598.98521079,2021-01-10,6384579.953897483
1610150400,120.83,132.0,127.93,131.38,26681.09342084,2021-01-09,3505362.053629959
1610064000,111.27,134.32,126.14,127.33,46265.24349127,2021-01-08,5890953.453743408
1609977600,119.1,133.94,124.34,126.0,38484.76221516,2021-01-07,4849080.03911016
