unix,Low,High,Open,Close,Volume,Date,vol_fiat
1618704000,50.0,64.778,64.6556,55.9558,3409.043,2021-04-18,190755.7282994
1618617600,53.4401,66.9997,54.0,64.9482,15130.373,2021-04-17,982690.4916786
1618531200,52.1,55.0,54.1883,53.8477,10218.255,2021-04-16,550229.5297635
1618444800,51.9486,55.0,52.2,54.1762,6181.417,2021-04-15,334885.68367540004
1618358400,50.5707,53.9033,52.9918,52.199,10764.311,2021-04-14,561886.269889
1618272000,51.5574,56.3191,54.9823,53.1547,6591.379,2021-04-13,350362.7733313
1618185600,52.8116,57.0,53.2214,55.0309,6624.989,2021-04-12,364579.1071601
1618099200,51.09,53.8984,52.9124,53.0978,5973.181,2021-04-11,317162.7701018
1618012800,52.6731,56.9124,56.3824,52.9545,5438.211,2021-04-10,287977.7443995
1617926400,51.2475,59.3245,52.7996,56.558,15801.846,2021-04-09,893720.8060679999
1617840000,45.9114,54.3019,45.9114,52.7625,8112.991,2021-04-08,428061.6876375
1617753600,45.3224,53.1814,50.046,45.8884,5206.099,2021-04-07,238899.55335159999
1617667200,48.0985,53.1279,48.3736,50.0727,7045.951,2021-04-06,352809.7906377
1617580800,46.2998,56.4172,47.8008,49.1329,25484.325,2021-04-05,1252118.7917925
1617494400,36.1406,61.0,36.4,47.8316,23772.48,2021-04-04,1137075.754368
1617408000,36.4,40.2,39.1583,36.4,6359.683,2021-04-03,231492.4612
1617321600,38.4491,40.7168,38.7521,39.0932,4419.262,2021-04-02,172763.0932184
1617235200,37.5663,42.0,38.0428,38.8554,7526.514,2021-04-01,292445.71207560005
1617148800,36.0268,39.5686,38.3211,38.0107,5964.805,2021-03-31,226726.4134135
1617062400,34.4931,42.0,34.9458,38.3703,14119.647,2021-03-30,541775.0912841001
1616976000,32.7067,35.5355,33.5,34.9291,8121.606,2021-03-29,283680.38813459995
1616889600,31.6992,34.1829,31.7633,33.3361,3806.784,2021-03-28,126903.3321024
1616803200,31.6579,34.0555,34.0555,31.8576,3532.58,2021-03-27,112539.520608
1616716800,28.4527,34.0555,28.4527,34.0555,7280.177,2021-03-26,247930.0678235
1616630400,28.213,31.7795,31.1843,28.3439,5850.413,2021-03-25,165823.5210307
1616544000,30.5001,36.1527,33.2417,31.1843,10980.198,2021-03-24,342409.7884914
1616457600,32.6109,35.4849,34.0714,33.2685,6246.948,2021-03-23,207826.58953800003
1616371200,33.3949,38.2,36.1,33.7693,6174.565,2021-03-22,208510.73785449998
1616284800,35.2424,38.0756,37.178,36.1002,6906.634,2021-03-21,249330.86872680002
1616198400,37.1924,39.85,39.1413,37.2677,11054.93,2021-03-20,411991.814761
1616112000,36.3,42.6697,42.4682,39.1413,16708.374,2021-03-19,653987.4792462001
1616025600,34.4379,49.5,34.7414,42.5987,36803.195,2021-03-18,1567768.2628465
1615939200,31.627,35.9998,32.1835,34.5518,6559.429,2021-03-17,226640.07892220002
1615852800,30.009,36.5,31.3728,32.3036,15661.06,2021-03-16,505908.617816
1615766400,28.6054,33.181,29.9064,31.3786,7990.128,2021-03-15,250719.0304608
