unix,Low,High,Open,Close,Volume,Date,vol_fiat
1612656000,1087.95,1236.5,1224.43,1177.38,22737.93998139,2021-02-07,26771195.77528896
1612569600,1201.26,1269.77,1253.16,1225.51,15905.63291593,2021-02-06,19492512.194801375
1612483200,1165.39,1282.0,1169.48,1254.31,20498.38057742,2021-02-05,25711323.74206368
1612396800,1139.89,1243.91,1223.46,1169.75,29688.06903218,2021-02-04,34727618.750392556
1612310400,1104.0,1226.55,1109.2,1223.45,26037.13748083,2021-02-03,31855135.850921463
1612224000,995.02,1133.58,1004.97,1108.04,35780.19579596,2021-02-02,39645888.149755515
1612137600,928.68,1008.79,959.69,1005.8,12312.91765629,2021-02-01,12384332.57869648
1612051200,936.5,1008.78,1006.28,959.82,14429.11158778,2021-01-31,13849349.884183
1611964800,969.56,1026.2,1006.69,1006.55,12707.76188465,2021-01-30,12790997.724994458
1611878400,940.0,1046.71,969.36,1007.64,36869.00302785,2021-01-29,37150682.21098277
1611792000,894.0,993.0,908.36,968.55,17336.59515659,2021-01-28,16791359.238915242
1611705600,876.26,1000.0,995.89,910.0,28970.22135104,2021-01-27,26362901.4294464
1611619200,909.0,1008.48,964.12,993.63,20223.70391072,2021-01-26,20094878.916808713
1611532800,948.12,1076.99,1015.58,965.65,30135.51564494,2021-01-25,29100360.682536308
1611446400,894.37,1020.0,902.84,1015.55,20796.07258639,2021-01-24,21119451.515108366
1611360000,876.06,931.83,901.67,903.57,12439.30822746,2021-01-23,11239785.735086033
1611273600,755.03,934.36,810.09,902.69,37252.0476806,2021-01-22,33627050.92080082
1611187200,784.05,1016.97,1008.52,809.11,45854.96166673,2021-01-21,37101708.03416791
1611100800,901.02,1032.45,1003.0,1007.34,34455.5342758,2021-01-20,34708437.89738437
1611014400,920.03,1059.82,925.88,1004.44,47002.25222877,2021-01-19,47210942.22866574
1610928000,872.6,927.52,907.09,925.88,13249.77878064,2021-01-18,12267705.177418962
1610841600,860.33,930.99,903.29,908.03,19124.52286665,2021-01-17,17365640.4986042
1610755200,849.32,950.0,861.59,904.45,30379.02922832,2021-01-16,27476312.985554025
1610668800,786.76,916.0,900.89,861.58,32608.18146349,2021-01-15,28094556.985313717
1610582400,797.72,911.98,829.35,901.72,29751.03286278,2021-01-14,26827101.353025984
1610496000,722.0,838.0,768.16,828.42,27480.39342055,2021-01-13,22765307.51745203
1610409600,735.25,849.94,806.59,768.16,44536.73156243,2021-01-12,34211335.71699623
1610323200,621.02,932.82,928.32,805.92,137701.56203166,2021-01-11,110976442.87255542
1610236800,830.0,996.45,945.33,929.78,47074.5772267,2021-01-10,43769000.41384112
1610150400,867.43,963.98,899.24,943.9,28838.75791411,2021-01-09,27220903.59512843
1610064000,785.57,939.0,906.38,900.06,54705.11697074,2021-01-08,49237887.58068424
1609977600,845.77,957.77,889.39,905.0,44302.0624851,2021-01-07,40093366.5490155
1609891200,777.77,893.0,809.83,889.18,48448.04321486,2021-01-06,43079031.065789215
1609804800,718.48,837.32,768.95,809.16,52401.21754125,2021-01-05,42400969.18567785
1609718400,640.0,856.69,717.95,766.93,94526.9412455,2021-01-04,72495547.04941131
1609632000,564.0,744.79,568.61,717.54,71319.39683253,2021-01-03,51174520.00321357
1609545600,525.78,579.0,535.16,568.7,26510.95320663,2021-01-02,15076779.088610483
1609459200,526.18,548.17,539.35,535.59,10031.90088885,2021-01-01,5372985.797059172
1609372800,531.73,557.35,552.4,539.71,10601.06324398,2020-12-31,5721499.843408446
1609286400,528.88,557.04,543.0,551.93,12882.820182,2020-12-30,7110414.943051259
1609200000,510.59,549.99,541.99,542.0,14461.8525425,2020-12-29,7838324.078035001
1609113600,501.08,555.82,505.0,542.18,20439.1853332,2020-12-28,11081717.503954375
1609027200,460.81,529.71,469.09,504.99,25784.79365561,2020-12-27,13021062.948146494
1608940800,454.02,481.47,462.66,468.99,9566.25271341,2020-12-26,4486476.860062156
1608854400,446.89,467.88,453.91,462.04,7297.37398575,2020-12-25,3371678.67637593
1608768000,419.85,454.0,433.3,452.33,10787.37615403,2020-12-24,4879453.85575239
1608681600,405.35,477.27,475.6,434.29,16475.93063583,2020-12-23,7155331.91583461
1608595200,438.09,476.55,453.11,476.29,10719.64528146,2020-12-22,5105659.851106583
1608508800,450.57,488.27,476.49,452.18,15846.81763041,2020-12-21,7165613.996118794
1608422400,464.0,490.19,488.65,476.79,11566.58811366,2020-12-20,5514833.5467119515
1608336000,479.08,498.0,484.6,488.95,9126.13944263,2020-12-19,4462225.880473938
1608249600,464.0,492.66,473.71,485.04,8102.0193211,2020-12-18,3929803.451506344
1608163200,460.81,500.0,471.86,473.4,21832.40474055,2020-12-17,10335460.40417637
1608076800,432.46,473.0,438.97,472.54,15842.01881386,2020-12-16,7485987.570301405
1607990400,434.02,447.19,440.08,438.61,4670.32524601,2020-12-15,2048451.3561524462
1607904000,429.2,444.16,443.03,440.05,4258.32522537,2020-12-14,1873876.0154240686
1607817600,427.44,448.89,431.78,443.03,5464.79740496,2020-12-13,2421069.1943194284
